intervention_id,type,region,target_disease,start_date,duration_days,effectiveness_score,cost,population_affected,compliance_rate
624eda88-345c-4ff4-8e3c-50d9c2368df1,public_awareness,coastal_region,covid19,2024-06-12,88,0.6992243220115973,197423,65135,0.5801469815610102
800b63b8-ab1c-463f-9b7a-47a87cf0e832,contact_tracing,suburban_area,meningitis,2025-03-21,12,0.2311098752039997,194287,75421,0.42334885136968925
5d68976c-ef27-4b6a-9496-0d3942fb91df,quarantine,coastal_region,gastroenteritis,2024-11-22,76,0.7425648828727962,800970,12800,0.744019266466988
d591fcbc-549a-481a-852d-2a1482d6a596,vaccination_campaign,urban_center,pneumonia,2024-08-23,10,0.8752423496004804,785952,69029,0.5449018233998707
8854658a-b5fa-47c1-9dce-f403301169e3,public_awareness,urban_center,pneumonia,2025-05-03,44,0.5877198772220217,813916,24098,0.3125375265440716
515ffcea-522c-4f6d-91c8-10fbd77c307d,public_awareness,industrial_zone,malaria,2025-03-20,73,0.1566829831020442,733476,29932,0.42178299658758234
7887dbe1-c7f1-4704-bc1f-b3ca1a7c5333,public_awareness,rural_district,gastroenteritis,2024-08-02,75,0.8101806991098631,833325,46492,0.9453319272568015
aee7e7c8-aaba-43af-b33e-e2cd4eadc120,vaccination_campaign,industrial_zone,covid19,2024-11-11,61,0.5423600621931535,929317,11625,0.5277512816290284
b2db1c46-46c0-45a0-90f6-d0bc1fc6b306,school_closure,industrial_zone,pneumonia,2024-10-02,90,0.17026450383649266,149663,2379,0.3492700552050263
b0fe9d36-0520-4d2e-afd8-6d8efa330f5b,travel_restriction,coastal_region,malaria,2024-09-30,46,0.7819827634445629,129468,58986,0.3415631763723752
1373804b-1e9b-4232-8faf-71ab334ed770,school_closure,rural_district,gastroenteritis,2025-05-28,31,0.783383343136041,405635,9650,0.6476322556653354
e9cd6b12-cd8d-4c49-97ef-4050fc7b43ed,quarantine,industrial_zone,meningitis,2025-03-24,76,0.25228399674409097,338871,21319,0.4549344484865369
17ec425c-f16d-4e88-a6c9-fe3714f6e13d,contact_tracing,industrial_zone,meningitis,2024-11-24,24,0.42978136890915275,639693,49343,0.3642433498019362
2081a19f-df76-4bc5-8a99-32320f180235,vaccination_campaign,suburban_area,covid19,2025-03-31,8,0.36643627597897244,349927,29025,0.7957944825542245
b52e2c7b-e0d3-4497-89c4-f0d46db72e3c,social_distancing,rural_district,malaria,2025-03-29,74,0.39118036338853013,61951,35389,0.6404090923543464
de2eb74c-9616-414a-84f9-ee0d217bd20a,social_distancing,industrial_zone,meningitis,2025-01-06,43,0.21793764198202503,214955,87035,0.42429844077724005
72047919-4905-4c0e-8746-4f4958d0ddbe,contact_tracing,coastal_region,influenza,2025-05-14,83,0.19054028570037618,768719,61956,0.4163185392742156
b09c0156-bf1c-4242-9464-3012d590a8e6,quarantine,coastal_region,malaria,2025-01-11,12,0.5953588013564829,153454,48793,0.596202983320694
d9ea0195-f6ce-4a46-9d7f-768f8f9848c4,social_distancing,coastal_region,covid19,2025-02-02,22,0.13641857105330965,435201,61218,0.770446930654013
63338b38-9b80-4e21-b597-d577ddb805ff,contact_tracing,suburban_area,food_poisoning,2025-02-27,11,0.43583459487250087,357976,17393,0.5325857264375378
382aa453-dbbe-4f1e-8aa0-50bf23acc552,social_distancing,urban_center,gastroenteritis,2024-08-19,54,0.8613501918496168,318862,26432,0.503951985452994
72735a6b-067f-4cf1-a8c4-829a2ec0d257,school_closure,industrial_zone,gastroenteritis,2025-02-17,14,0.21145167206005633,454627,64416,0.35305617866583366
